player_id_team,season,returns,yards,average,returns_20_yards_plus,returns_40_yards_plus,long_gain,fair_catches,fumbles
xavier-smith-LAR,2026,1,11,11.0,0,0,11,0,0
rashid-shaheed-SEA,2026,1,9,9.0,0,0,9,3,0
jacob-cowing-SF,2026,2,17,8.5,0,0,13,1,0
